Date,Average Temperature (°C),Average Wind Speed (km/h),Average Wind Gusts (km/h),Wind Direction (°),Season,Precipitation,Average Relative Humidity (%),Average Sunshine Duration (hours)
2024-07-18,15.259666,8.205369,17.055,13.869603157043457,Winter,0.0,27.07055,35293.508
2024-07-19,15.768002,7.9543476,18.404997,250.42686462402344,Winter,0.0,25.090101,35391.883
2024-07-20,14.397166,9.485976,21.39,170.33270263671875,Winter,0.0,24.976133,35424.12
2024-07-21,13.143002,9.316765,20.234999,148.7410888671875,Winter,0.0,22.506021,35457.125
2024-07-22,14.426333,8.260793,17.984999,235.4913787841797,Winter,0.0,35.08681,35490.883
2024-07-16,13.480499,7.779349,18.029997,171.82571411132812,Winter,0.0,25.451239,35237.293
2024-07-17,13.951332,7.485722,16.335,148.3176727294922,Winter,0.0,29.934341,35264.953
2024-07-18,15.259666,8.205369,17.055,13.869603157043457,Winter,0.0,27.07055,35293.508
2024-07-19,15.768002,7.9543476,18.404997,250.42686462402344,Winter,0.0,25.090101,35391.883
2024-07-20,14.397166,9.485976,21.39,170.33270263671875,Winter,0.0,24.976133,35424.12
2024-07-21,13.143002,9.316765,20.234999,148.7410888671875,Winter,0.0,22.506021,35457.125
2024-07-22,14.426333,8.260793,17.984999,235.4913787841797,Winter,0.0,35.08681,35490.883
2024-07-23,16.06175,9.429732,20.97,231.78892517089844,Winter,0.0,37.033245,35448.59
2024-07-24,15.532585,9.046798,19.515001,185.2606964111328,Winter,0.0,23.354765,35796.39
2024-07-25,13.463832,8.05513,18.089996,166.28265380859375,Winter,0.0,18.842646,35837.72
2024-07-26,13.636749,8.313733,19.155,86.53190612792969,Winter,0.0,40.13831,35797.387
2024-07-27,14.755501,9.147498,19.965002,199.79896545410156,Winter,0.0,39.82871,35922.035
2024-07-28,13.426333,10.66443,22.425001,202.36941528320312,Winter,0.0,15.261399,36136.28
2024-07-29,12.045082,8.428716,20.22,172.37586975097656,Winter,0.0,26.76301,36183.047
2024-07-25,13.463832,8.05513,18.089996,166.28265380859375,Winter,0.0,18.842646,35837.72
2024-07-26,13.636749,8.313733,19.155,86.53190612792969,Winter,0.0,40.13831,35797.387
2024-07-27,14.755501,9.147498,19.965002,199.79896545410156,Winter,0.0,39.82871,35922.035
2024-07-28,13.426333,10.66443,22.425001,202.36941528320312,Winter,0.0,15.261399,36136.28
2024-07-29,12.045082,8.428716,20.22,172.37586975097656,Winter,0.0,26.76301,36183.047
